t,x,y,method
+1.319469e+01,+7.046962e+00,-1.562915e+00,Euler
+1.350885e+01,+6.555958e+00,-3.776783e+00,Euler
+1.382301e+01,+5.369446e+00,-5.836398e+00,Euler
+1.413717e+01,+3.535888e+00,-7.523260e+00,Euler
+1.445133e+01,+1.172386e+00,-8.634092e+00,Euler
+1.476549e+01,-1.540094e+00,-9.002408e+00,Euler
+1.507964e+01,-4.368284e+00,-8.518573e+00,Euler
+1.539380e+01,-7.044472e+00,-7.146236e+00,Euler
+1.570796e+01,-9.289528e+00,-4.933150e+00,Euler
+1.602212e+01,-1.083932e+01,-2.014758e+00,Euler
+1.633628e+01,-1.147228e+01,+1.390515e+00,Euler
+1.665044e+01,-1.103543e+01,+4.994638e+00,Euler
+1.696460e+01,-9.466323e+00,+8.461522e+00,Euler
+1.727876e+01,-6.808058e+00,+1.143546e+01,Euler
+1.759292e+01,-3.215503e+00,+1.357427e+01,Euler
+1.790708e+01,+1.048979e+00,+1.458445e+01,Euler
+1.822124e+01,+5.630819e+00,+1.425490e+01,Euler
+1.853540e+01,+1.010913e+01,+1.248593e+01,Euler
+1.884956e+01,+1.403170e+01,+9.310053e+00,Euler
+1.916372e+01,+1.695654e+01,+4.901864e+00,Euler
+1.947787e+01,+1.849650e+01,-4.251896e-01,Euler
+1.979203e+01,+1.836293e+01,-6.236038e+00,Euler
+2.010619e+01,+1.640382e+01,-1.200492e+01,Euler
+2.042035e+01,+1.263236e+01,-1.715833e+01,Euler
+2.073451e+01,+7.241912e+00,-2.112691e+01,Euler
+2.104867e+01,+6.046982e-01,-2.340202e+01,Euler
+2.136283e+01,-6.747263e+00,-2.359199e+01,Euler
+2.167699e+01,-1.415891e+01,-2.147228e+01,Euler
+2.199115e+01,-2.090462e+01,-1.702412e+01,Euler
+2.230531e+01,-2.625291e+01,-1.045674e+01,Euler
+2.261947e+01,-2.953799e+01,-2.209151e+00,Euler
+2.293363e+01,-3.023202e+01,+7.070483e+00,Euler
+2.324779e+01,-2.801076e+01,+1.656815e+01,Euler
+2.356194e+01,-2.280572e+01,+2.536799e+01,Euler
+2.387610e+01,-1.483613e+01,+3.253262e+01,Euler
+2.419026e+01,-4.615708e+00,+3.719353e+01,Euler
+2.450442e+01,+7.068983e+00,+3.864359e+01,Euler
+2.481858e+01,+1.920923e+01,+3.642281e+01,Euler
+2.513274e+01,+3.065179e+01,+3.038805e+01,Euler
+2.544690e+01,+4.019848e+01,+2.075851e+01,Euler
+2.576106e+01,+4.671995e+01,+8.129783e+00,Euler
+2.607522e+01,+4.927400e+01,-6.547723e+00,Euler
+2.638938e+01,+4.721697e+01,-2.202761e+01,Euler
+2.670354e+01,+4.029680e+01,-3.686126e+01,Euler
+2.701770e+01,+2.871649e+01,-4.952087e+01,Euler
+2.733186e+01,+1.315905e+01,-5.854242e+01,Euler
+2.764602e+01,-5.232592e+00,-6.267646e+01,Euler
+2.796017e+01,-2.492298e+01,-6.103259e+01,Euler
+2.827433e+01,-4.409694e+01,-5.320280e+01,Euler
+2.858849e+01,-6.081109e+01,-3.934934e+01,Euler
+2.890265e+01,-7.317305e+01,-2.024498e+01,Euler
+2.921681e+01,-7.953320e+01,+2.743015e+00,Euler
+2.953097e+01,-7.867145e+01,+2.772911e+01,Euler
+2.984513e+01,-6.996010e+01,+5.244447e+01,Euler
+3.015929e+01,-5.348418e+01,+7.442308e+01,Euler
+3.047345e+01,-3.010348e+01,+9.122564e+01,Euler
+3.078761e+01,-1.444100e+00,+1.006829e+02,Euler
+3.110177e+01,+3.018637e+01,+1.011366e+02,Euler
+3.141593e+01,+6.195937e+01,+9.165327e+01,Euler
+3.173009e+01,+9.075310e+01,+7.218816e+01,Euler
+3.204425e+01,+1.134317e+02,+4.367723e+01,Euler
+3.235840e+01,+1.271533e+02,+8.041622e+00,Euler
+3.267256e+01,+1.296796e+02,-3.190476e+01,Euler
+3.298672e+01,+1.196565e+02,-7.264482e+01,Euler
+3.330088e+01,+9.683441e+01,-1.102360e+02,Euler
+3.361504e+01,+6.220275e+01,-1.406574e+02,Euler
+3.392920e+01,+1.801392e+01,-1.601990e+02,Euler
+3.424336e+01,-3.231408e+01,-1.658582e+02,Euler
+3.455752e+01,-8.441999e+01,-1.557065e+02,Euler
+3.487168e+01,-1.333366e+02,-1.291852e+02,Euler
+3.518584e+01,-1.739213e+02,-8.729622e+01,Euler
+3.550000e+01,-2.013462e+02,-3.265722e+01,Euler
+3.581416e+01,-2.116058e+02,+3.059757e+01,Euler
+3.612832e+01,-2.019933e+02,+9.707550e+01,Euler
+3.644247e+01,-1.714961e+02,+1.605336e+02,Euler
+3.675663e+01,-1.210630e+02,+2.144107e+02,Euler
+3.707079e+01,-5.370393e+01,+2.524437e+02,Euler
+3.738495e+01,+2.560360e+01,+2.693153e+02,Euler
+3.769911e+01,+1.102115e+02,+2.612717e+02,Euler
+3.801327e+01,+1.922924e+02,+2.266478e+02,Euler
+3.832743e+01,+2.634959e+02,+1.662373e+02,Euler
+3.864159e+01,+3.157209e+02,+8.345761e+01,Euler
+3.895575e+01,+3.419399e+02,-1.572904e+01,Euler
+3.926991e+01,+3.369985e+02,-1.231526e+02,Euler
+3.958407e+01,+2.983089e+02,-2.290238e+02,Euler
+3.989823e+01,+2.263590e+02,-3.227403e+02,Euler
+4.021239e+01,+1.249671e+02,-3.938531e+02,Euler
+4.052655e+01,+1.234509e+00,-4.331127e+02,Euler
+4.084070e+01,-1.348319e+02,-4.335005e+02,Euler
+4.115486e+01,-2.710201e+02,-3.911418e+02,Euler
+4.146902e+01,-3.939009e+02,-3.059984e+02,Euler
+4.178318e+01,-4.900331e+02,-1.822508e+02,Euler
+4.209734e+01,-5.472889e+02,-2.830232e+01,Euler
+4.241150e+01,-5.561803e+02,+1.436336e+02,Euler
+4.272566e+01,-5.110565e+02,+3.183628e+02,Euler
+4.303982e+01,-4.110399e+02,+4.789159e+02,Euler
+4.335398e+01,-2.605840e+02,+6.080479e+02,Euler
+4.366814e+01,-6.956016e+01,+6.899128e+02,Euler
+4.398230e+01,+1.471823e+02,+7.117657e+02,Euler
+4.429646e+01,+3.707901e+02,+6.655271e+02,Euler
+4.461062e+01,+5.798716e+02,+5.490399e+02,Euler
+4.492477e+01,+7.523576e+02,+3.668679e+02,Euler
+4.523893e+01,+8.676125e+02,+1.305077e+02,Euler
+4.555309e+01,+9.086127e+02,-1.420608e+02,Euler
+4.586725e+01,+8.639830e+02,-4.275099e+02,Euler
+4.618141e+01,+7.296768e+02,-6.989382e+02,Euler
+4.649557e+01,+5.100989e+02,-9.281729e+02,Euler
+4.680973e+01,+2.185048e+02,-1.088425e+03,Euler
+4.712389e+01,-1.234340e+02,-1.157071e+03,Euler
+4.743805e+01,-4.869385e+02,-1.118293e+03,Euler
+4.775221e+01,-8.382604e+02,-9.653164e+02,Euler
+4.806637e+01,-1.141524e+03,-7.019691e+02,Euler
+4.838053e+01,-1.362054e+03,-3.433489e+02,Euler
+4.869469e+01,-1.469920e+03,+8.455288e+01,Euler
+4.900885e+01,-1.443357e+03,+5.463418e+02,Euler
+4.932300e+01,-1.271718e+03,+9.997857e+02,Euler
+4.963716e+01,-9.576265e+02,+1.399308e+03,Euler
+4.995132e+01,-5.180210e+02,+1.700155e+03,Euler
+5.026548e+01,+1.609852e+01,+1.862896e+03,Euler
+5.057964e+01,+6.013446e+02,+1.857839e+03,Euler
+5.089380e+01,+1.185002e+03,+1.668921e+03,Euler
+5.120796e+01,+1.709309e+03,+1.296641e+03,Euler
+5.152212e+01,+2.116661e+03,+7.596462e+02,Euler
+5.183628e+01,+2.355311e+03,+9.467765e+01,Euler
+5.215044e+01,+2.385054e+03,-6.452650e+02,Euler
+5.246460e+01,+2.182338e+03,-1.394552e+03,Euler
+5.277876e+01,+1.744227e+03,-2.080154e+03,Euler
+5.309292e+01,+1.090727e+03,-2.628119e+03,Euler
+5.340708e+01,+2.650796e+02,-2.970781e+03,Euler
+5.372123e+01,-6.682188e+02,-3.054058e+03,Euler
+5.403539e+01,-1.627679e+03,-2.844131e+03,Euler
+5.434955e+01,-2.521190e+03,-2.332780e+03,Euler
+5.466371e+01,-3.254054e+03,-1.540725e+03,Euler
+5.497787e+01,-3.738087e+03,-5.184341e+02,Euler
+5.529203e+01,-3.900958e+03,+6.559207e+02,Euler
+5.560619e+01,-3.694895e+03,+1.881443e+03,Euler
+5.592035e+01,-3.103822e+03,+3.042228e+03,Euler
+5.623451e+01,-2.148078e+03,+4.017323e+03,Euler
+5.654867e+01,-8.859986e+02,+4.692161e+03,Euler
+5.686283e+01,+5.880873e+02,+4.970506e+03,Euler
+5.717699e+01,+2.149618e+03,+4.785753e+03,Euler
+5.749115e+01,+3.653106e+03,+4.110430e+03,Euler
+5.780530e+01,+4.944436e+03,+2.962773e+03,Euler
+5.811946e+01,+5.875219e+03,+1.409433e+03,Euler
+5.843362e+01,+6.318005e+03,-4.363216e+02,Euler
+5.874778e+01,+6.180931e+03,-2.421181e+03,Euler
+5.906194e+01,+5.420294e+03,-4.362978e+03,Euler
+5.937610e+01,+4.049624e+03,-6.065814e+03,Euler
+5.969026e+01,+2.143993e+03,-7.338041e+03,Euler
+6.000442e+01,-1.613209e+02,-8.011596e+03,Euler
+6.031858e+01,-2.678238e+03,-7.960915e+03,Euler
+6.063274e+01,-5.179233e+03,-7.119522e+03,Euler
+6.094690e+01,-7.415897e+03,-5.492418e+03,Euler
+6.126106e+01,-9.141391e+03,-3.162645e+03,Euler
+6.157522e+01,-1.013497e+04,-2.907925e+02,Euler
+6.188938e+01,-1.022632e+04,+2.893201e+03,Euler
+6.220353e+01,-9.317395e+03,+6.105894e+03,Euler
+6.251769e+01,-7.399171e+03,+9.033040e+03,Euler
+6.283185e+01,-4.561358e+03,+1.135756e+04,Euler
+6.314601e+01,-9.932761e+02,+1.279055e+04,Euler
+6.346017e+01,+3.024994e+03,+1.310260e+04,Euler
+6.377433e+01,+7.141297e+03,+1.215227e+04,Euler
+6.408849e+01,+1.095904e+04,+9.908764e+03,Euler
+6.440265e+01,+1.407197e+04,+6.465878e+03,Euler
+6.471681e+01,+1.610329e+04,+2.045037e+03,Euler
+6.503097e+01,+1.674576e+04,-3.013960e+03,Euler
+6.534513e+01,+1.579889e+04,-8.274795e+03,Euler
+6.565929e+01,+1.319929e+04,-1.323816e+04,Euler
+6.597345e+01,+9.040398e+03,-1.738484e+04,Euler
+6.628760e+01,+3.578789e+03,-2.022497e+04,Euler
+6.660176e+01,-2.775073e+03,-2.134928e+04,Euler
+6.691592e+01,-9.482146e+03,-2.047746e+04,Euler
+6.723008e+01,-1.591533e+04,-1.749856e+04,Euler
+6.754424e+01,-2.141267e+04,-1.249861e+04,Euler
+6.785840e+01,-2.533922e+04,-5.771623e+03,Euler
+6.817256e+01,-2.715243e+04,+2.188927e+03,Euler
+6.848672e+01,-2.646476e+04,+1.071911e+04,Euler
+6.880088e+01,-2.309725e+04,+1.903326e+04,Euler
+6.911504e+01,-1.711777e+04,+2.628948e+04,Euler
+6.942920e+01,-8.858689e+03,+3.166718e+04,Euler
+6.974336e+01,+1.089850e+03,+3.445022e+04,Euler
+7.005752e+01,+1.191271e+04,+3.410784e+04,Euler
+7.037168e+01,+2.262800e+04,+3.036535e+04,Euler
+7.068583e+01,+3.216756e+04,+2.325655e+04,Euler
+7.099999e+01,+3.947382e+04,+1.315082e+04,Euler
+7.131415e+01,+4.360527e+04,+7.497521e+02,Euler
+7.162831e+01,+4.384081e+04,-1.294925e+04,Euler
+7.194247e+01,+3.977268e+04,-2.672224e+04,Euler
+7.225663e+01,+3.137764e+04,-3.921720e+04,Euler
+7.257079e+01,+1.905720e+04,-4.907478e+04,Euler
+7.288495e+01,+3.639900e+03,-5.506177e+04,Euler
+7.319911e+01,-1.365827e+04,-5.620528e+04,Euler
+7.351327e+01,-3.131568e+04,-5.191441e+04,Euler
+7.382743e+01,-4.762507e+04,-4.207630e+04,Euler
+7.414159e+01,-6.084373e+04,-2.711444e+04,Euler
+7.445575e+01,-6.936198e+04,-7.999823e+03,Euler
+7.476991e+01,-7.187520e+04,+1.379089e+04,Euler
+7.508406e+01,-6.754267e+04,+3.637115e+04,Euler
+7.539822e+01,-5.611633e+04,+5.759030e+04,Euler
+7.571238e+01,-3.802381e+04,+7.521977e+04,Euler
+7.602654e+01,-1.439282e+04,+8.716530e+04,Euler
+7.634070e+01,+1.299097e+04,+9.168694e+04,Euler
+7.665486e+01,+4.179527e+04,+8.760570e+04,Euler
+7.696902e+01,+6.931741e+04,+7.447533e+04,Euler
+7.728318e+01,+9.271453e+04,+5.269863e+04,Euler
+7.759734e+01,+1.092703e+05,+2.357150e+04,Euler
+7.791150e+01,+1.166755e+05,-1.075677e+04,Euler
+7.822566e+01,+1.132962e+05,-4.741146e+04,Euler
+7.853982e+01,+9.840140e+04,-8.300450e+04,Euler
+7.885398e+01,+7.232477e+04,-1.139182e+05,Euler
+7.916813e+01,+3.653631e+04,-1.366397e+05,Euler
+7.948229e+01,-6.390320e+03,-1.481179e+05,Euler
+7.979645e+01,-5.292294e+04,-1.461103e+05,Euler
+8.011061e+01,-9.882486e+04,-1.294841e+05,Euler
+8.042477e+01,-1.395035e+05,-9.843737e+04,Euler
+8.073893e+01,-1.704285e+05,-5.461106e+04,Euler
+8.105309e+01,-1.875851e+05,-1.069363e+03,Euler
+8.136725e+01,-1.879210e+05,+5.786223e+04,Euler
+8.168141e+01,-1.697431e+05,+1.168994e+05,Euler
+8.199557e+01,-1.330181e+05,+1.702257e+05,Euler
+8.230973e+01,-7.954007e+04,+2.120146e+05,Euler
+8.262389e+01,-1.293373e+04,+2.370028e+05,Euler
+8.293805e+01,+6.152291e+04,+2.410661e+05,Euler
+8.325221e+01,+1.372560e+05,+2.217381e+05,Euler
+8.356636e+01,+2.069171e+05,+1.786178e+05,Euler
+8.388052e+01,+2.630316e+05,+1.136129e+05,Euler
+8.419468e+01,+2.987241e+05,+3.097909e+04,Euler
+8.450884e+01,+3.084565e+05,-6.286786e+04,Euler
+8.482300e+01,+2.887060e+05,-1.597723e+05,Euler
+8.513716e+01,+2.385120e+05,-2.504720e+05,Euler
+8.545132e+01,+1.598239e+05,-3.254027e+05,Euler
+8.576548e+01,+5.759563e+04,-3.756129e+05,Euler
+8.607964e+01,-6.040663e+04,-3.937071e+05,Euler
+8.639380e+01,-1.840934e+05,-3.747298e+05,Euler
+8.670796e+01,-3.018182e+05,-3.168951e+05,Euler
+8.702212e+01,-4.013737e+05,-2.220762e+05,Euler
+8.733628e+01,-4.711410e+05,-9.598088e+04,Euler
+8.765044e+01,-5.012943e+05,+5.203243e+04,Euler
+8.796459e+01,-4.849478e+05,+2.095187e+05,Euler
+8.827875e+01,-4.191256e+05,+3.618695e+05,Euler
+8.859291e+01,-3.054409e+05,+4.935417e+05,Euler
+8.890707e+01,-1.503902e+05,+5.894988e+05,Euler
+8.922123e+01,+3.480630e+04,+6.367453e+05,Euler
+8.953539e+01,+2.348457e+05,+6.258106e+05,Euler
+8.984955e+01,+4.314499e+05,+5.520316e+05,Euler
+9.016371e+01,+6.048758e+05,+4.164876e+05,Euler
+9.047787e+01,+7.357192e+05,+2.264603e+05,Euler
+9.079203e+01,+8.068638e+05,-4.672712e+03,Euler
+9.110619e+01,+8.053959e+05,-2.581565e+05,Euler
+9.142035e+01,+7.242936e+05,-5.111790e+05,Euler
+9.173451e+01,+5.637020e+05,-7.387226e+05,Euler
+9.204866e+01,+3.316254e+05,-9.158148e+05,Euler
+9.236282e+01,+4.391374e+04,-1.019998e+06,Euler
+9.267698e+01,-2.765281e+05,-1.033794e+06,Euler
+9.299114e+01,-6.013040e+05,-9.469200e+05,Euler
+9.330530e+01,-8.987877e+05,-7.580148e+05,Euler
+9.361946e+01,-1.136925e+06,-4.756523e+05,Euler
+9.393362e+01,-1.286356e+06,-1.184768e+05,Euler
+9.424778e+01,-1.323576e+06,+2.856438e+05,Euler
+9.456194e+01,-1.233839e+06,+7.014575e+05,Euler
+9.487610e+01,-1.013469e+06,+1.089079e+06,Euler
+9.519026e+01,-6.713249e+05,+1.407470e+06,Euler
+9.550442e+01,-2.291551e+05,+1.618373e+06,Euler
+9.581858e+01,+2.792718e+05,+1.690364e+06,Euler
+9.613274e+01,+8.103154e+05,+1.602628e+06,Euler
+9.644689e+01,+1.313796e+06,+1.348060e+06,Euler
+9.676105e+01,+1.737302e+06,+9.353192e+05,Euler
+9.707521e+01,+2.031141e+06,+3.895298e+05,Euler
+9.738937e+01,+2.153515e+06,-2.485719e+05,Euler
+9.770353e+01,+2.075424e+06,-9.251187e+05,Euler
+9.801769e+01,+1.784789e+06,-1.577132e+06,Euler
+9.833185e+01,+1.289319e+06,-2.137840e+06,Euler
+9.864601e+01,+6.176963e+05,-2.542892e+06,Euler
+9.896017e+01,-1.811768e+05,-2.736947e+06,Euler
+9.927433e+01,-1.041014e+06,-2.680028e+06,Euler
+9.958849e+01,-1.882970e+06,-2.352984e+06,Euler
+9.990265e+01,-2.622182e+06,-1.761432e+06,Euler
+1.002168e+02,-3.175552e+06,-9.376493e+05,Euler
+1.005310e+02,-3.470123e+06,+5.997974e+04,Euler
+1.008451e+02,-3.451280e+06,+1.150151e+06,Euler
+1.011593e+02,-3.089949e+06,+2.234403e+06,Euler
+1.014734e+02,-2.387991e+06,+3.205139e+06,Euler
+1.017876e+02,-1.381067e+06,+3.955348e+06,Euler
+1.021018e+02,-1.384576e+05,+4.389223e+06,Euler
+1.024159e+02,+1.240457e+06,+4.432721e+06,Euler
+1.027301e+02,+2.633038e+06,+4.043020e+06,Euler
+1.030442e+02,+3.903190e+06,+3.215826e+06,Euler
+1.033584e+02,+4.913472e+06,+1.989603e+06,Euler
+1.036726e+02,+5.538524e+06,+4.459905e+05,Euler
+1.039867e+02,+5.678636e+06,-1.293988e+06,Euler
+1.043009e+02,+5.272118e+06,-3.077984e+06,Euler
+1.046150e+02,+4.305140e+06,-4.734269e+06,Euler
+1.049292e+02,+2.817826e+06,-6.086768e+06,Euler
+1.052434e+02,+9.056112e+05,-6.972015e+06,Euler
+1.055575e+02,-1.284712e+06,-7.256521e+06,Euler
+1.058717e+02,-3.564415e+06,-6.852917e+06,Euler
+1.061858e+02,-5.717322e+06,-5.733123e+06,Euler
+1.065000e+02,-7.518436e+06,-3.936973e+06,Euler
+1.068142e+02,-8.755272e+06,-1.574987e+06,Euler
+1.071283e+02,-9.250069e+06,+1.175563e+06,Euler
+1.074425e+02,-8.880755e+06,+4.081558e+06,Euler
+1.077566e+02,-7.598496e+06,+6.871530e+06,Euler
+1.080708e+02,-5.439741e+06,+9.258667e+06,Euler
+1.083849e+02,-2.531045e+06,+1.096761e+07,Euler
+1.086991e+02,+9.145323e+05,+1.176276e+07,Euler
+1.090133e+02,+4.609913e+06,+1.147545e+07,Euler
+1.093274e+02,+8.215034e+06,+1.002721e+07,Euler
+1.096416e+02,+1.136517e+07,+7.446379e+06,Euler
+1.099557e+02,+1.370452e+07,+3.875904e+06,Euler
+1.102699e+02,+1.492217e+07,-4.294989e+05,Euler
+1.105841e+02,+1.478724e+07,-5.117438e+06,Euler
+1.108982e+02,+1.317955e+07,-9.762988e+06,Euler
+1.112124e+02,+1.011242e+07,-1.390347e+07,Euler
+1.115265e+02,+5.744517e+06,-1.708038e+07,Euler
+1.118407e+02,+3.785582e+05,-1.888507e+07,Euler
+1.121549e+02,-5.554361e+06,-1.900400e+07,Euler
+1.124690e+02,-1.152464e+07,-1.725904e+07,Euler
+1.127832e+02,-1.694673e+07,-1.363847e+07,Euler
+1.130973e+02,-2.123138e+07,-8.314497e+06,Euler
+1.134115e+02,-2.384346e+07,-1.644461e+06,Euler
+1.137257e+02,-2.436008e+07,+5.846182e+06,Euler
+1.140398e+02,-2.252345e+07,+1.349913e+07,Euler
+1.143540e+02,-1.828257e+07,+2.057508e+07,Euler
+1.146681e+02,-1.181872e+07,+2.631872e+07,Euler
+1.149823e+02,-3.550453e+06,+3.003168e+07,Euler
+1.152965e+02,+5.884277e+06,+3.114709e+07,Euler
+1.156106e+02,+1.566942e+07,+2.929849e+07,Euler
+1.159248e+02,+2.487381e+07,+2.437579e+07,Euler
+1.162389e+02,+3.253169e+07,+1.656145e+07,Euler
+1.165531e+02,+3.773463e+07,+6.341319e+06,Euler
+1.168672e+02,+3.972681e+07,-5.513364e+06,Euler
+1.171814e+02,+3.799474e+07,-1.799391e+07,Euler
+1.174956e+02,+3.234178e+07,-2.993031e+07,Euler
+1.178097e+02,+2.293890e+07,-4.009078e+07,Euler
+1.181239e+02,+1.034401e+07,-4.729725e+07,Euler
+1.184380e+02,-4.514858e+06,-5.054692e+07,Euler
+1.187522e+02,-2.039464e+07,-4.912853e+07,Euler
+1.190664e+02,-3.582882e+07,-4.272137e+07,Euler
+1.193805e+02,-4.925014e+07,-3.146541e+07,Euler
+1.196947e+02,-5.913529e+07,-1.599302e+07,Euler
+1.200088e+02,-6.415964e+07,+2.584876e+06,Euler
+1.203230e+02,-6.334758e+07,+2.274122e+07,Euler
+1.206372e+02,-5.620321e+07,+4.264245e+07,Euler
+1.209513e+02,-4.280669e+07,+6.029921e+07,Euler
+1.212655e+02,-2.386314e+07,+7.374733e+07,Euler
+1.215796e+02,-6.947300e+05,+8.124416e+07,Euler
+1.218938e+02,+2.482887e+07,+8.146241e+07,Euler
+1.222080e+02,+5.042105e+07,+7.366219e+07,Euler
+1.225221e+02,+7.356271e+07,+5.782195e+07,Euler
+1.228363e+02,+9.172801e+07,+3.471155e+07,Euler
+1.231504e+02,+1.026330e+08,+5.894343e+06,Euler
+1.234646e+02,+1.044847e+08,-2.634875e+07,Euler
+1.237788e+02,+9.620702e+07,-5.917360e+07,Euler
+1.240929e+02,+7.761709e+07,-8.939792e+07,Euler
+1.244071e+02,+4.953190e+07,-1.137821e+08,Euler
+1.247212e+02,+1.378621e+07,-1.293430e+08,Euler
+1.250354e+02,-2.684807e+07,-1.336740e+08,Euler
+1.253495e+02,-6.884301e+07,-1.252395e+08,Euler
+1.256637e+02,-1.081881e+08,-1.036118e+08,Euler
+1.259779e+02,-1.407387e+08,-6.962348e+07,Euler
+1.262920e+02,-1.626116e+08,-2.540910e+07,Euler
+1.266062e+02,-1.705941e+08,+2.567684e+07,Euler
+1.269203e+02,-1.625275e+08,+7.927056e+07,Euler
+1.272345e+02,-1.376239e+08,+1.303301e+08,Euler
+1.275487e+02,-9.667950e+07,+1.735659e+08,Euler
+1.278628e+02,-4.215217e+07,+2.039387e+08,Euler
+1.281770e+02,+2.191706e+07,+2.171812e+08,Euler
+1.284911e+02,+9.014653e+07,+2.102957e+08,Euler
+1.288053e+02,+1.562129e+08,+1.819753e+08,Euler
+1.291195e+02,+2.133821e+08,+1.328996e+08,Euler
+1.294336e+02,+2.551338e+08,+6.586366e+07,Euler
+1.297478e+02,+2.758254e+08,-1.428898e+07,Euler
+1.300619e+02,+2.713364e+08,-1.009421e+08,Euler
+1.303761e+02,+2.396245e+08,-1.861850e+08,Euler
+1.306903e+02,+1.811328e+08,-2.614652e+08,Euler
+1.310044e+02,+9.899108e+07,-3.183698e+08,Euler
+1.313186e+02,-1.027730e+06,-3.494687e+08,Euler
+1.316327e+02,-1.108166e+08,-3.491459e+08,Euler
+1.319469e+02,-2.205040e+08,-3.143318e+08,Euler
+1.322611e+02,-3.192542e+08,-2.450584e+08,Euler
+1.325752e+02,-3.962416e+08,-1.447618e+08,Euler
+1.328894e+02,-4.417199e+08,-2.027880e+07,Euler
+1.332035e+02,-4.480906e+08,+1.184916e+08,Euler
+1.335177e+02,-4.108654e+08,+2.592634e+08,Euler
+1.338318e+02,-3.294154e+08,+3.883406e+08,Euler
+1.341460e+02,-2.074146e+08,+4.918295e+08,Euler
+1.344602e+02,-5.290181e+07,+5.569907e+08,Euler
+1.347743e+02,+1.220820e+08,+5.736103e+08,Euler
+1.350885e+02,+3.022870e+08,+5.352571e+08,Euler
+1.354026e+02,+4.704430e+08,+4.402909e+08,Euler
+1.357168e+02,+6.087644e+08,+2.924969e+08,Euler
+1.360310e+02,+7.006550e+08,+1.012479e+08,Euler
+1.363451e+02,+7.324630e+08,-1.188694e+08,Euler
+1.366593e+02,+6.951190e+08,-3.489794e+08,Euler
+1.369734e+02,+5.854839e+08,-5.673575e+08,Euler
+1.372876e+02,+4.072433e+08,-7.512927e+08,Euler
+1.376018e+02,+1.712177e+08,-8.792320e+08,Euler
+1.379159e+02,-1.050011e+08,-9.330216e+08,Euler
+1.382301e+02,-3.981185e+08,-9.000345e+08,Euler
+1.385442e+02,-6.808727e+08,-7.749619e+08,Euler
+1.388584e+02,-9.243341e+08,-5.610594e+08,Euler
+1.391726e+02,-1.100596e+09,-2.706713e+08,Euler
+1.394867e+02,-1.185630e+09,+7.509118e+07,Euler
+1.398009e+02,-1.162039e+09,+4.475678e+08,Euler
+1.401150e+02,-1.021432e+09,+8.126333e+08,Euler
+1.404292e+02,-7.661356e+08,+1.133526e+09,Euler
+1.407434e+02,-4.100280e+08,+1.374214e+09,Euler
+1.410575e+02,+2.169409e+07,+1.503028e+09,Euler
+1.413717e+02,+4.938844e+08,+1.496213e+09,Euler
+1.416858e+02,+9.639335e+08,+1.341055e+09,Euler
